Time (s),R (V), Theta (degrees)
1.3671875,0.01432425,133.1885
1.369140625,0.01446539,133.5869
1.37109375,0.0144158,133.665
1.373046875,0.01453215,133.2275
1.375,0.014597,133.7119
1.376953125,0.01453215,133.376
1.37890625,0.01469046,133.3057
1.380859375,0.01466757,133.751
1.3828125,0.01466948,133.1338
1.384765625,0.01476675,133.4229
1.38671875,0.0146752,133.5479
1.388671875,0.01476103,133.0713
1.390625,0.01478773,133.501
1.392578125,0.01469427,133.1885
1.39453125,0.01474959,133.2432
1.396484375,0.01463705,132.9697
1.3984375,0.01457411,133.0635
1.400390625,0.01433188,132.7979
1.40234375,0.01434523,132.5479
1.404296875,0.0141812,132.8369
1.40625,0.01403242,132.2119
1.408203125,0.01405722,132.3604
1.41015625,0.01383215,132.4854
1.412109375,0.01383024,131.8994
1.4140625,0.01379973,132.3291
1.416015625,0.01358801,132.0557
1.41796875,0.01368147,131.8682
1.419921875,0.01357657,132.3369
1.421875,0.01346976,131.7354
1.423828125,0.0135594,131.9775
1.42578125,0.01339537,132.2119
1.427734375,0.01344687,131.7041
1.4296875,0.01347739,132.126
1.431640625,0.01336485,131.9697
1.43359375,0.01350409,132.1729
1.435546875,0.01353842,132.2979
1.4375,0.01375777,132.9697
1.439453125,0.01380163,133.165
1.44140625,0.01406103,133.1338
1.443359375,0.01415831,133.7822
1.4453125,0.01418883,133.3369
1.447265625,0.0143643,133.6104
1.44921875,0.01435095,133.8682
1.451171875,0.01442724,133.3369
1.453125,0.01452643,133.7119
1.455078125,0.01445585,133.6104
1.45703125,0.01460081,133.2979
1.458984375,0.01462942,133.79
1.4609375,0.01458555,133.2744
1.462890625,0.0147267,133.3838
1.46484375,0.01466948,133.6807
1.466796875,0.01471716,133.0713
1.46875,0.0147782,133.4229
1.470703125,0.01467139,133.3057
1.47265625,0.01474768,133.1494
1.474609375,0.01461035,132.6963
1.4765625,0.01454931,132.5322
1.478515625,0.01430136,132.3604
1.48046875,0.01428992,131.876
1.482421875,0.01417357,132.1572
1.484375,0.01396948,131.6729
1.486328125,0.01401907,131.6807
1.48828125,0.01383406,132.001
1.490234375,0.0137673,131.376
1.4921875,0.01378828,131.7588
1.494140625,0.01357275,131.7822
1.49609375,0.01364142,131.4072
1.498046875,0.01359373,131.9229
1.5,0.01344115,131.54
1.501953125,0.01355559,131.6104
1.50390625,0.01343542,132.0166
1.505859375,0.01341635,131.4697
1.5078125,0.01349074,131.8525
1.509765625,0.01336104,131.8994
1.51171875,0.0134812,131.7744
1.513671875,0.01347166,132.1104
1.515625,0.01368529,132.7588
1.517578125,0.0137673,133.3213
1.51953125,0.01401335,133.0869
1.521484375,0.01416975,133.7744
1.5234375,0.01417929,133.5322
1.525390625,0.01439291,133.5322
1.52734375,0.01440817,134.0166
1.529296875,0.01445395,133.4072
1.53125,0.0145722,133.665
1.533203125,0.01451117,133.7979
1.53515625,0.01462561,133.2979
1.537109375,0.01468664,133.7588
1.5390625,0.01460463,133.4385
1.541015625,0.01475149,133.3369
1.54296875,0.01472288,133.751
1.544921875,0.01470572,133.1494
1.546875,0.01479918,133.3916
1.548828125,0.01470953,133.5322
1.55078125,0.01478583,133.0322
1.552734375,0.01479536,133.4229
1.5546875,0.01471907,133.0166
1.556640625,0.01463896,133.1572
1.55859375,0.01454931,132.5166
1.560546875,0.01446539,132.6025
1.5625,0.01419646,132.2275
1.564453125,0.01421934,131.9463
1.56640625,0.01406485,132.2744
1.568359375,0.01390654,131.6416
1.5703125,0.01394469,131.8213
1.572265625,0.01373106,132.0244
1.57421875,0.01372725,131.4463
1.576171875,0.0137139,131.915
1.578125,0.013506,131.7197
1.580078125,0.01360518,131.5244
1.58203125,0.01351362,132.0322
1.583984375,0.01341254,131.5166
1.5859375,0.01351362,131.7744
1.587890625,0.01338202,132.0322
1.58984375,0.0134297,131.5869
1.591796875,0.01346785,132.0479
1.59375,0.01347739,131.8525
1.595703125,0.01359755,132.3916
1.59765625,0.01374632,132.0244
1.599609375,0.01394278,132.7354
1.6015625,0.01395613,132.8057
1.603515625,0.01416594,132.665
1.60546875,0.01423651,133.2744
1.607421875,0.01424986,132.8838
1.609375,0.01439291,133.0791
1.611328125,0.01438147,133.4697
1.61328125,0.01445776,132.9385
1.615234375,0.01456267,133.3838
1.6171875,0.01448828,133.3916
1.619140625,0.01463896,133.0713
1.62109375,0.01466757,133.5869
1.623046875,0.01461607,133.0947
1.625,0.01474386,133.1963
1.626953125,0.01468855,133.5166
